CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
KCNK9,0.650680471989598,0.000001,0.000001,0.18509,0.12831,3.583856617,-0.3838075643,0.019431969516909127
KCNQ1,0.05573761290436261,0.012718115652878744,0.000001,0.32219,0.33671,1.751730932,-0.6851803759,0.7644327561257483
KCNQ2,0.7292567255943238,0.028265993028978594,0.000001,0.49147,0.15128,4.246094817,-0.6667705043,0.055564033523451385
KCNQ4,0.6237805633183012,0.07380390222099385,0.000001,0.12943,0.14391,3.66054097,-0.6685906502,0.014323349717533435
KDR,0.02061810626637782,0.0246587309281092,0.000001,0.44385,0.1311,0.978048013,-1.1391490391,0.006383956430422296
KIF5A,0.6463487007249247,0.006346853420597206,0.000001,0.40931,0.17076,3.701566221,-1.3079829296,0.01814204160336618
KIT,0.6822362715731399,0.01923115301150612,0.000001,0.43921,0.153,2.028951071,-0.6833634347,0.046920186334751715
KRAS,0.753007713428856,0.000001,0.000001,0.99997,0.53296,0.000001,-0.141298762,0.6994073487422044
KRIT1,0.6077426039296788,0.11270169680350346,0.000001,0.15958,0.41628,0.359998825,-0.8651950269,0.6958522385130395
KRT1,0.7168581580805314,0.07949416593736879,0.000001,0.79851,0.61014,2.026830744,0.7091975091,0.07355917396277425
KRT12,0.6468357176459841,0.1005073280434436,0.000001,0.21898,0.21502,1.80070378,0.5089576099,0.06117446342244658
KRT14,0.016497049949957866,0.000001,0.000001,0.000001,0.000001,2.458767694,-0.0678812493,0.05454959366773804
KRT16,0.7598962738722662,0.043861380511009074,0.000001,0.16969,0.47926,0.401268186,0.6448759713,0.08816148418410809
KRT18,0.000001,0.032512672247583634,0.000001,0.000001,0.000001,2.308560466,-0.2717554808,0.025513767701759248
KRT3,0.6282324089502577,0.012524319533016968,0.000001,0.000001,0.000001,-0.218720268,0.3821388992,0.02079625612079578
KRT8,0.006386863614327559,0.026898083025929442,0.000001,0.000001,0.000001,1.317985447,0.5328231217,0.0
KRT9,0.6805863526977053,0.11004556322791055,0.000001,0.16631,0.19904,-0.414226931,-1.1959195841,0.06562026429350554
LBR,0.6582628177556321,0.10042617898802783,0.000001,0.62297,0.29079,-0.779475622,-0.7072275641,0.05614681442508134
LGI1,0.6359514095247558,0.040682564029137565,0.000001,0.63786,0.32628,1.927712543,-0.7145054274,0.06635277017910979
