CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
CD96,0.5946194579240575,0.046854472451371344,0.000001,0.19826,0.07625,-1.313528405,-0.5969923872,0.01262174542546493
CDC73,0.632975495967063,0.03737107079312311,0.000001,0.2543,0.15588,3.119325948,-0.3838075643,0.6584482566009461
CDH1,0.7137790131286608,0.0945805009897839,0.000001,0.8252,0.93422,1.715805665,-1.0618103605,0.1721303461157267
CDH15,0.6709136024217817,0.08513149169739796,0.000001,0.12643,0.12266,0.696858224,-0.1028780928,0.03680099972277537
CDK4,0.6988111549638788,0.03570495547143941,0.000001,0.99997,0.77439,1.494119152,-0.2956224973,0.13166909787963937
CDKN1B,0.6326746384801576,0.057095128605085484,0.000001,0.80863,0.68893,0.50172509,-0.0053819721,0.7372252621171825
CDKN1C,0.7135207315722771,0.000001,0.000001,0.000001,0.000001,2.272461674,0.000001,0.6920525568813626
CDKN2A,0.6834432324362522,0.046413836951793006,0.000001,0.03037,0.06846,2.828520368,0.7257944159,0.758325883629219
CDON,0.5781094346033973,0.17836170159221132,0.000001,0.12453,0.17736,0.808925837,0.8358458253,0.07661329557449974
CEACAM16,0.672489238768254,0.019164957242087634,0.000001,0.000001,0.000001,0.799224321,-0.4003923891,0.025154587086560567
CEBPA,0.6409017244861249,0.012764137090185734,0.000001,0.000001,0.000001,2.175096701,0.000001,0.6682292610335988
CEL,0.7184169951438933,0.09128604332026038,0.000001,0.36881,0.36793,1.851355191,0.000001,0.6916532687907101
CFC1,0.6909959172618699,0.000001,0.000001,0.000001,0.000001,3.05506006,0.000001,0.0
CHCHD10,0.6694657829437749,0.006208438471421261,0.000001,0.000001,0.000001,0.000001,0.000001,0.028398532572057895
CHD2,0.7461237064159946,0.012533897117919116,0.000001,0.56985,0.10377,4.398373978,-1.7453895787,0.04185372775065243
CHD4,0.7740514616315947,0.006298924147430119,0.000001,0.80213,0.31816,6.162176325,-1.6369327847,0.012385951619251191
CHD7,0.5810690615928735,0.025108064143659684,0.000001,0.14151,0.13965,3.375099466,-2.9243393041,0.6357737659807174
CHD8,0.6553777410063601,0.0223384610544286,0.000001,0.71112,0.12031,4.243238908,-2.337343807,0.03827159808533102
CHMP2B,0.6159593936701633,0.000001,0.000001,0.34759,0.14616,0.000001,-0.1615247089,0.018895699525456795
CHMP4B,0.6585075342445474,0.000001,0.000001,0.64334,0.10911,2.351882335,-0.0751598784,0.0
CHN1,0.718992604841812,0.03388931402270478,0.000001,0.29582,0.15284,1.384232704,-0.5381321944,0.012632562604394437
CHRNA2,0.6604356113775868,0.09269939912299582,0.000001,0.04594,0.17832,0.736668107,-0.7531397305,0.0773801494933327
CHRNA4,0.7012205192756455,0.01255161949775161,0.000001,0.12554,0.10854,0.988749201,-1.9695459827,0.018661029220510987
CHRNB2,0.5730340898590055,0.012550073090096139,0.000001,0.21029,0.27753,2.528075494,-0.6924585987,0.03625769152140109
CITED2,0.8172020364731423,0.014684698540361387,0.000001,0.74428,0.37204,1.878732781,-0.2938016524,0.12681858997735582
CIZ1,0.6425445583694956,0.06598724655968442,0.000001,0.10121,0.0907,0.869169533,-0.3508434071,0.02520739298434185
CNBP,0.5985202059026873,0.03231171095095789,0.000001,0.87038,0.43956,0.000001,0.3014496805,0.6456274513545667
COCH,0.627326776708691,0.012596746810356602,0.000001,0.53303,0.13199,1.758956774,0.2866749959,0.018671215197061376
COL10A1,0.6593454952059029,0.09582614040232403,0.000001,0.06187,0.36607,-1.099342885,-0.0201505516,0.11417149668594408
